date,feature_index,avg(band_0)
2023-02-16T00:00:00.000Z,13,1884.1281982421874
2023-02-16T00:00:00.000Z,9,
2023-02-18T00:00:00.000Z,5,1894.1185302734375
2023-02-17T00:00:00.000Z,22,
2023-02-17T00:00:00.000Z,20,
2023-02-17T00:00:00.000Z,1,
2023-02-19T00:00:00.000Z,13,
2023-02-17T00:00:00.000Z,8,1876.9859619140625
2023-02-18T00:00:00.000Z,3,
2023-02-16T00:00:00.000Z,15,
2023-02-17T00:00:00.000Z,21,
2023-02-19T00:00:00.000Z,5,1886.2633056640625
2023-02-19T00:00:00.000Z,3,
2023-02-19T00:00:00.000Z,2,
2023-02-18T00:00:00.000Z,1,
2023-02-17T00:00:00.000Z,18,
2023-02-17T00:00:00.000Z,7,
2023-02-17T00:00:00.000Z,15,
2023-02-18T00:00:00.000Z,4,
2023-02-18T00:00:00.000Z,8,
2023-02-17T00:00:00.000Z,17,1878.4391682942708
2023-02-16T00:00:00.000Z,22,
2023-02-18T00:00:00.000Z,17,
2023-02-17T00:00:00.000Z,10,
2023-02-17T00:00:00.000Z,19,
2023-02-17T00:00:00.000Z,9,
2023-02-16T00:00:00.000Z,21,1887.6557861328124
2023-02-19T00:00:00.000Z,18,
2023-02-19T00:00:00.000Z,15,
2023-02-19T00:00:00.000Z,10,
2023-02-16T00:00:00.000Z,5,
2023-02-19T00:00:00.000Z,7,
2023-02-19T00:00:00.000Z,17,
2023-02-18T00:00:00.000Z,12,
2023-02-18T00:00:00.000Z,16,
2023-02-19T00:00:00.000Z,16,
2023-02-16T00:00:00.000Z,16,
2023-02-16T00:00:00.000Z,0,
2023-02-19T00:00:00.000Z,4,
2023-02-17T00:00:00.000Z,13,1875.361962890625
2023-02-17T00:00:00.000Z,6,
2023-02-19T00:00:00.000Z,22,
2023-02-19T00:00:00.000Z,12,
2023-02-18T00:00:00.000Z,18,
2023-02-28T00:00:00.000Z,0,1889.7300720214844
2023-02-28T00:00:00.000Z,20,
2023-02-28T00:00:00.000Z,5,
2023-02-28T00:00:00.000Z,15,
2023-02-28T00:00:00.000Z,14,
2023-02-28T00:00:00.000Z,11,1868.6720703125
2023-02-28T00:00:00.000Z,21,1888.212255859375
2023-02-28T00:00:00.000Z,16,
2023-02-28T00:00:00.000Z,2,1879.3298746744792
2023-02-28T00:00:00.000Z,10,
2023-02-28T00:00:00.000Z,3,
2023-02-28T00:00:00.000Z,7,1893.5057983398438
2023-02-28T00:00:00.000Z,9,
2023-02-28T00:00:00.000Z,19,
2023-02-28T00:00:00.000Z,13,
2023-02-28T00:00:00.000Z,8,1887.465576171875
2023-02-28T00:00:00.000Z,12,1917.8982543945312
2023-02-28T00:00:00.000Z,22,
2023-02-28T00:00:00.000Z,1,1909.7272338867188
2023-02-28T00:00:00.000Z,17,1869.0450032552083
2023-02-28T00:00:00.000Z,6,1911.2131042480469
2023-02-28T00:00:00.000Z,4,
2023-02-28T00:00:00.000Z,18,1890.7648010253906
